route_id,direction_label,stop_code,stop_name,stop_sequence
10,Inbound,hare,Hartford & Reservoir,4
10,Inbound,amjo,Amazon (Johnston),5
10,Inbound,haat,Hartford & Atwood,6
10,Inbound,conv,Rhode Island Convention Center,7
10,Inbound,weem,Westminster & Empire,8
10,Inbound,weed,Weybosset & Eddy,9
10,Inbound,tuhe,Turk's Head,10
10,Inbound,exte,Exchange Terrace (Stop X),11
10,Outbound,conv,Rhode Island Convention Center,1
10,Outbound,weem,Westminster & Empire,2
10,Outbound,weed,Weybosset & Eddy,3
10,Outbound,tuhe,Turk's Head,4
10,Outbound,exte,Exchange Terrace (Stop X),5
10,Outbound,haat,Hartford & Atwood,6
10,Outbound,hare,Hartford & Reservoir,7
10,Outbound,rtro,Danielson Pike & Rockland,8
10,Outbound,chop,Chopmist Hill Fire Station,9
10,Outbound,fost,Foster (Foster Center Baptist Church),10
11,North,bdcl,Broad Street Terminus,1
11,North,bdth,Broad & Thurbers,2
11,North,bdli,Trinity Square (Broad & Elmwood),3
11,North,kepl,Kennedy Plaza (Providence),4
11,North,psta,Providence Station,5
11,North,chga,Charlesgate (North Main & Doyle),6
11,North,nmni,9th Street (North Main & 9th),7
11,North,copk,Collyer Park (Main & Conant),8
11,North,patc,Pawtucket-Central Falls Transit Center,9
11,North,maro,Roosevelt & Main,10
11,South,slmi,Slater Mill (Roosevelt & Main),1
11,South,patc,Pawtucket-Central Falls Transit Center,2
11,South,copk,Collyer Park (Main & Conant),3
11,South,nmni,9th Street (North Main & 9th),4
11,South,chga,Charlesgate (North Main & Doyle),5
11,South,psta,Providence Station,6
11,South,kepl,Kennedy Plaza (Providence),7
11,South,bdli,Trinity Square (Broad & Elmwood),8
11,South,bdth,Broad & Thurbers,9
11,South,bdcl,Broad Street Terminus,10
12,Inbound,arce,Arctic Center (Main & Washington),1
12,Inbound,p117,Park & Ride (RI-117 - Warwick),2
12,Inbound,exte,Exchange Terrace (Stop X),3
12,Inbound,conv,Rhode Island Convention Center,4
12,Inbound,weem,Westminster & Empire,5
12,Inbound,weed,Weybosset & Eddy,6
12,Inbound,tuhe,Turk's Head,7
12,Outbound,exte,Exchange Terrace (Stop X),1
12,Outbound,conv,Rhode Island Convention Center,2
12,Outbound,weem,Westminster & Empire,3
12,Outbound,weed,Weybosset & Eddy,4
12,Outbound,tuhe,Turk's Head,5
12,Outbound,p117,Park & Ride (RI-117 - Warwick),6
12,Outbound,arce,Arctic Center (Main & Washington),7
13,Inbound,woma,Woodland Manor,1
13,Inbound,walm,Job Lot (Coventry),2
13,Inbound,wash,South Main & Tiogue,3
13,Inbound,wasb,Washington & Sandy Bottom,4
13,Inbound,arce,Arctic Center (Main & Washington),5
13,Inbound,phen,Phenix Hotel,6
13,Inbound,prto,Providence & Tollgate,7
13,Inbound,prwa,Providence & Wakefield,8
13,Inbound,rima,Rhode Island Mall,9
13,Inbound,ccrw,CCRI Warwick,10
13,Outbound,ccrw,CCRI Warwick,1
13,Outbound,rima,Rhode Island Mall,2
13,Outbound,prwa,Providence & Wakefield,3
13,Outbound,prto,Providence & Tollgate,4
13,Outbound,phen,Phenix Hotel,5
13,Outbound,arce,Arctic Center (Main & Washington),6
13,Outbound,wasb,Washington & Sandy Bottom,7
13,Outbound,wash,South Main & Tiogue,8
13,Outbound,walm,Job Lot (Coventry),9
13,Outbound,woma,Woodland Manor,10
14,Inbound,narr,Narragansett (Salt Pond Plaza),1
14,Inbound,nabe,Narragansett & Beach,2
14,Inbound,bosh,RI-1A & Bonnet Shores,3
14,Inbound,gace,Newport Transportation Center,4
14,Inbound,nppr,Newport Park & Ride,5
14,Inbound,jame,Jamestown Ferry Landing,6
14,Inbound,rt1a,Park & Ride (RI-1A & RI-138),7
14,Inbound,wick,Wickford (Brown & Phillips),8
14,Inbound,2102,Wickford Train Station (Park & Ride),9
14,Inbound,kogr,Gate Road (Kohl's),10
14,Inbound,pofr,Post & Frenchtown,11
14,Inbound,fima,First & Main,12
14,Inbound,appo,Apponaug (Centerville & Post),13
14,Inbound,ccrw,CCRI Warwick,14
14,Inbound,intl,Airport Interlink,15
14,Inbound,je95,Jefferson & I-95,16
14,Inbound,kepl,Kennedy Plaza (Providence),17
14,Outbound,kepl,Kennedy Plaza (Providence),1
14,Outbound,je95,Jefferson & I-95,2
14,Outbound,intl,Airport Interlink,3
14,Outbound,ccrw,CCRI Warwick,4
14,Outbound,appo,Apponaug (Centerville & Post),5
14,Outbound,fima,First & Main,6
14,Outbound,pofr,Post & Frenchtown,7
14,Outbound,kogr,Gate Road (Kohl's),8
14,Outbound,2102,Wickford Train Station (Park & Ride),9
14,Outbound,wick,Wickford (Brown & Phillips),10
14,Outbound,rt1a,Park & Ride (RI-1A & RI-138),11
14,Outbound,jame,Jamestown Ferry Landing,12
14,Outbound,nppr,Newport Park & Ride,13
14,Outbound,gace,Newport Transportation Center,14
14,Outbound,bosh,RI-1A & Bonnet Shores,15
14,Outbound,nabe,Narragansett & Beach,16
14,Outbound,narr,Narragansett (Salt Pond Plaza),17
16,Inbound,kogr,Gate Road (Kohl's),1
16,Inbound,pofr,Post & Frenchtown,2
16,Inbound,fima,First & Main,3
16,Inbound,nete,New England Tech (East Greenwich),4
16,Inbound,r2eg,RI-2 at East Greenwich Ave,5
16,Inbound,coco,Cowesett Corners (RI-2 & RI-3),6
16,Inbound,kect,Kent County Courthouse,7
16,Inbound,mbwa,Market Basket (West Warwick),8
16,Inbound,ccrw,CCRI Warwick,9
16,Outbound,ccrw,CCRI Warwick,1
16,Outbound,mbwa,Market Basket (West Warwick),2
16,Outbound,kect,Kent County Courthouse,3
16,Outbound,coco,Cowesett Corners (RI-2 & RI-3),4
16,Outbound,r2eg,RI-2 at East Greenwich Ave,5
16,Outbound,nete,New England Tech (East Greenwich),6
16,Outbound,fima,First & Main,7
16,Outbound,pofr,Post & Frenchtown,8
16,Outbound,kogr,Gate Road (Kohl's),9
17,Inbound,stph,Stop & Shop (Cranston - Atwood Ave),1
17,Inbound,dych,Dyer & Chestnut Hill,2
17,Inbound,odfe,Plainfield & Pocasset,3
17,Inbound,olsq,Olneyville Square,4
17,Inbound,crws,Cranston & Westminster,5
17,Inbound,kepl,Kennedy Plaza (Providence),6
17,Outbound,kepl,Kennedy Plaza (Providence),1
17,Outbound,crws,Cranston & Westminster,2
17,Outbound,olsq,Olneyville Square,3
17,Outbound,odfe,Plainfield & Pocasset,4
17,Outbound,dych,Dyer & Chestnut Hill,5
17,Outbound,stph,Stop & Shop (Cranston - Atwood Ave),6
18,Inbound,dych,Dyer & Chestnut Hill,1
18,Inbound,lhel,Laurel Hill & Elwyn,2
18,Inbound,weun,Webster & Union,3
18,Inbound,crch,Cranston & Parade,4
18,Inbound,crws,Cranston & Westminster,5
18,Inbound,kepl,Kennedy Plaza (Providence),6
18,Outbound,kepl,Kennedy Plaza (Providence),1
18,Outbound,crws,Cranston & Westminster,2
18,Outbound,crch,Cranston & Parade,3
18,Outbound,weun,Webster & Union,4
18,Outbound,lhel,Laurel Hill & Elwyn,5
18,Outbound,dych,Dyer & Chestnut Hill,6
19,Inbound,afcs,Cranston Ind. Pk (Amflex & Comstock),1
19,Inbound,walc,Walmart (Cranston),2
19,Inbound,atpl,Atwood & Plainfield,3
19,Inbound,plmu,Plainfield & Murray,4
19,Inbound,odfe,Plainfield & Pocasset,5
19,Inbound,olsq,Olneyville Square,6
19,Inbound,crws,Cranston & Westminster,7
19,Inbound,kepl,Kennedy Plaza (Providence),8
19,Outbound,kepl,Kennedy Plaza (Providence),1
19,Outbound,crws,Cranston & Westminster,2
19,Outbound,olsq,Olneyville Square,3
19,Outbound,odfe,Plainfield & Pocasset,4
19,Outbound,plmu,Plainfield & Murray,5
19,Outbound,atpl,Atwood & Plainfield,6
19,Outbound,walc,Walmart (Cranston),7
19,Outbound,afcs,Cranston Ind. Pk (Amflex & Comstock),8
20,Inbound,netp,New England Tech (Post Road),1
20,Inbound,tfgr,TF Green Airport,2
20,Inbound,poli,Post & Lincoln,3
20,Inbound,elpo,Elmwood & Post,4
20,Inbound,prre,Job Lot (Cranston) - Elmwood Ave,5
20,Inbound,prfd,Job Lot (Cranston) - Front Door,6
20,Inbound,elga,Elmwood Garage/RIPTA HQ,7
20,Inbound,elon,Elmwood & Reservoir,8
20,Inbound,elbr,Elmwood & Broad,9
20,Inbound,weed,Weybosset & Eddy,10
20,Inbound,kepl,Kennedy Plaza (Providence),11
20,Outbound,kepl,Kennedy Plaza (Providence),1
20,Outbound,elbr,Elmwood & Broad,2
20,Outbound,elon,Elmwood & Reservoir,3
20,Outbound,elga,Elmwood Garage/RIPTA HQ,4
20,Outbound,prfd,Job Lot (Cranston) - Front Door,5
20,Outbound,prre,Job Lot (Cranston) - Elmwood Ave,6
20,Outbound,elpo,Elmwood & Post,7
20,Outbound,poli,Post & Lincoln,8
20,Outbound,tfgr,TF Green Airport,9
20,Outbound,netp,New England Tech (Post Road),10
21,Inbound,ccrw,CCRI Warwick,1
21,Inbound,rima,Rhode Island Mall,2
21,Inbound,wmvd,Warwick Mall (Villa Del Rio Apartments),3
21,Inbound,ince,Traffic Tribunal,4
21,Inbound,grph,Garden City (Midway Rd),5
21,Inbound,pare,Park & Reservoir,6
21,Inbound,kepl,Kennedy Plaza (Providence),7
21,Outbound,kepl,Kennedy Plaza (Providence),1
21,Outbound,pare,Park & Reservoir,2
21,Outbound,grph,Garden City (Midway Rd),3
21,Outbound,ince,Traffic Tribunal,4
21,Outbound,wmvd,Warwick Mall (Villa Del Rio Apartments),5
21,Outbound,rima,Rhode Island Mall,6
21,Outbound,ccrw,CCRI Warwick,7
22,Inbound,ccrw,CCRI Warwick,1
22,Inbound,wmvd,Warwick Mall (Villa Del Rio Apartments),2
22,Inbound,popo,Pontiac & Power,3
22,Inbound,pogc,Pontiac & Garden City Drive,4
22,Inbound,paro,Park & Rolfe,5
22,Inbound,pore,Pontiac & Reservoir,6
22,Inbound,elon,Elmwood & Reservoir,7
22,Inbound,elbr,Elmwood & Broad,8
22,Inbound,weed,Weybosset & Eddy,9
22,Inbound,kepl,Kennedy Plaza (Providence),10
22,Outbound,kepl,Kennedy Plaza (Providence),1
22,Outbound,elbr,Elmwood & Broad,2
22,Outbound,elon,Elmwood & Reservoir,3
22,Outbound,pore,Pontiac & Reservoir,4
22,Outbound,paro,Park & Rolfe,5
22,Outbound,pogc,Pontiac & Garden City Drive,6
22,Outbound,popo,Pontiac & Power,7
22,Outbound,wmvd,Warwick Mall (Villa Del Rio Apartments),8
22,Outbound,ccrw,CCRI Warwick,9
23,Inbound,ctne,Centre of New England,1
23,Inbound,tiar,Tiogue & Arnold,2
23,Inbound,crom,Crompton (Main & Pulaski),3
23,Inbound,arce,Arctic Center (Main & Washington),4
23,Inbound,prto,Providence & Tollgate,5
23,Inbound,ccrw,CCRI Warwick,6
23,Outbound,ccrw,CCRI Warwick,1
23,Outbound,prto,Providence & Tollgate,2
23,Outbound,arce,Arctic Center (Main & Washington),3
23,Outbound,crom,Crompton (Main & Pulaski),4
23,Outbound,tiar,Tiogue & Arnold,5
23,Outbound,ctne,Centre of New England,6
24,Inbound,gace,Newport Transportation Center,1
24,Inbound,nppr,Newport Park & Ride,2
24,Inbound,fird,Park & Ride (Fish Road - Tiverton),3
24,Inbound,frpe,Pettine Transit Center (Fall River),4
24,Inbound,sopr,Park & Ride (Somerset),5
24,Inbound,edpo,Eddy & Point,6
24,Inbound,exte,Exchange Terrace (Stop X),7
24,Outbound,exte,Exchange Terrace (Stop X),1
24,Outbound,edpo,Eddy & Point,2
24,Outbound,sopr,Park & Ride (Somerset),3
24,Outbound,frpe,Pettine Transit Center (Fall River),4
24,Outbound,fird,Park & Ride (Fish Road - Tiverton),5
24,Outbound,nppr,Newport Park & Ride,6
24,Outbound,gace,Newport Transportation Center,7
27,Inbound,cent,Centerdale,1
27,Inbound,gwgr,George Waterman & Greenville,2
27,Inbound,mach,Manton & Chalkstone,3
27,Inbound,stom,Stop & Shop (Providence - Manton Ave),4
27,Inbound,maat,Manton & Atwells,5
27,Inbound,olsq,Olneyville Square,6
27,Inbound,lasq,La Salle Square,7
27,Inbound,kepl,Kennedy Plaza (Providence),8
27,Outbound,kepl,Kennedy Plaza (Providence),1
27,Outbound,lasq,La Salle Square,2
27,Outbound,olsq,Olneyville Square,3
27,Outbound,maat,Manton & Atwells,4
27,Outbound,stom,Stop & Shop (Providence - Manton Ave),5
27,Outbound,mach,Manton & Chalkstone,6
27,Outbound,gwgr,George Waterman & Greenville,7
27,Outbound,cent,Centerdale,8
28,Inbound,amjo,Amazon (Johnston),1
28,Inbound,stop,Johnston Plaza,2
28,Inbound,mbjo,Market Basket (Johnston),3
28,Inbound,haki,Hartford & Killingly,4
28,Inbound,olsq,Olneyville Square,5
28,Inbound,lasq,La Salle Square,6
28,Inbound,kepl,Kennedy Plaza (Providence),7
28,Outbound,kepl,Kennedy Plaza (Providence),1
28,Outbound,lasq,La Salle Square,2
28,Outbound,olsq,Olneyville Square,3
28,Outbound,haki,Hartford & Killingly,4
28,Outbound,mbjo,Market Basket (Johnston),5
28,Outbound,stop,Johnston Plaza,6
28,Outbound,amjo,Amazon (Johnston),7
29,Inbound,wsch,West Shore & Beach,1
29,Inbound,wasa,Meadowbrook (Warwick & Sandy Lane),2
29,Inbound,appo,Apponaug (Centerville & Post),3
29,Inbound,keco,Kent Hospital,4
29,Inbound,ccrw,CCRI Warwick,5
29,Outbound,ccrw,CCRI Warwick,1
29,Outbound,keco,Kent Hospital,2
29,Outbound,appo,Apponaug (Centerville & Post),3
29,Outbound,wasa,Meadowbrook (Warwick & Sandy Lane),4
29,Outbound,wsch,West Shore & Beach,5
30,Inbound,ccrw,CCRI Warwick,1
30,Inbound,wmvd,Warwick Mall (Villa Del Rio Apartments),2
30,Inbound,megr,Oaklawn & New London,3
30,Inbound,oade,Oaklawn & Dean,4
30,Inbound,crga,Cranston & Gansett,5
30,Inbound,crwe,Cranston & Webster,6
30,Inbound,kepl,Kennedy Plaza (Providence),7
30,Outbound,kepl,Kennedy Plaza (Providence),1
30,Outbound,crwe,Cranston & Webster,2
30,Outbound,crga,Cranston & Gansett,3
30,Outbound,oade,Oaklawn & Dean,4
30,Outbound,megr,Oaklawn & New London,5
30,Outbound,wmvd,Warwick Mall (Villa Del Rio Apartments),6
30,Outbound,ccrw,CCRI Warwick,7
31,Inbound,brpa,Brewery Parkade,1
31,Inbound,crch,Cranston & Parade,2
31,Inbound,crws,Cranston & Westminster,3
31,Inbound,kepl,Kennedy Plaza (Providence),4
31,Outbound,kepl,Kennedy Plaza (Providence),1
31,Outbound,crws,Cranston & Westminster,2
31,Outbound,crch,Cranston & Parade,3
31,Outbound,brpa,Brewery Parkade,4
32,Inbound,sksq,Seekonk Square Mall,1
32,Inbound,lsep,Lifespan East Providence,2
32,Inbound,ciba,Citizens Bank (East Providence),3
32,Inbound,sbma,South Broadway & Martin,4
32,Inbound,waso,Warren & South Broadway,5
32,Inbound,wapo,Warren & Potter,6
32,Inbound,aneg,Angell & Elmgrove,7
32,Inbound,tuth,Tunnel & Thayer,8
32,Inbound,kepl,Kennedy Plaza (Providence),9
32,Outbound,kepl,Kennedy Plaza (Providence),1
32,Outbound,tuth,Tunnel & Thayer,2
32,Outbound,wabu,Waterman & Butler,3
32,Outbound,wapo,Warren & Potter,4
32,Outbound,waso,Warren & South Broadway,5
32,Outbound,sbma,South Broadway & Martin,6
32,Outbound,ciba,Citizens Bank (East Providence),7
32,Outbound,sksq,Seekonk Square Mall,8
33,Inbound,wicv,Shaw's (Willett Ave - Riverside),1
33,Inbound,bpcv,Bullocks Point & Crescent View,2
33,Inbound,vepa,Veterans Parkway & Pawtucket,3
33,Inbound,wapw,Warren & Pawtucket,4
33,Inbound,wamp,Wampanoag Mall,5
33,Inbound,brsi,Taunton & Waterman,6
33,Inbound,aneg,Angell & Elmgrove,7
33,Inbound,tuth,Tunnel & Thayer,8
33,Inbound,kepl,Kennedy Plaza (Providence),9
33,Outbound,kepl,Kennedy Plaza (Providence),1
33,Outbound,tuth,Tunnel & Thayer,2
33,Outbound,wabu,Waterman & Butler,3
33,Outbound,brsi,Taunton & Waterman,4
33,Outbound,wamp,Wampanoag Mall,5
33,Outbound,wapw,Warren & Pawtucket,6
33,Outbound,vepa,Veterans Parkway & Pawtucket,7
33,Outbound,bpcv,Bullocks Point & Crescent View,8
33,Outbound,wicv,Shaw's (Willett Ave - Riverside),9
34,Inbound,sksq,Seekonk Square Mall,1
34,Inbound,evgr,Evergreen Apartments,2
34,Inbound,tpnr,Park & Ride (Taunton Ave - E Providence),3
34,Inbound,wamp,Wampanoag Mall,4
34,Inbound,wapw,Warren & Pawtucket,5
34,Inbound,wapo,Warren & Potter,6
34,Inbound,aneg,Angell & Elmgrove,7
34,Inbound,tuth,Tunnel & Thayer,8
34,Inbound,kepl,Kennedy Plaza (Providence),9
34,Outbound,kepl,Kennedy Plaza (Providence),1
34,Outbound,tuth,Tunnel & Thayer,2
34,Outbound,wabu,Waterman & Butler,3
34,Outbound,wapo,Warren & Potter,4
34,Outbound,wapw,Warren & Pawtucket,5
34,Outbound,wamp,Wampanoag Mall,6
34,Outbound,tpnr,Park & Ride (Taunton Ave - E Providence),7
34,Outbound,evgr,Evergreen Apartments,8
34,Outbound,sksq,Seekonk Square Mall,9
35,Inbound,soas,South Attleboro (Bristol Place),1
35,Inbound,arne,Armistice & Newport,2
35,Inbound,nebh,Newport & Beverage Hill,3
35,Inbound,nefe,Newport & Ferris,4
35,Inbound,nbrw,North Broadway & Roger Williams,5
35,Inbound,brsi,Taunton & Waterman,6
35,Inbound,tapo,Taunton & Potter,7
35,Inbound,aneg,Angell & Elmgrove,8
35,Inbound,tuth,Tunnel & Thayer,9
35,Inbound,kepl,Kennedy Plaza (Providence),10
35,Outbound,kepl,Kennedy Plaza (Providence),1
35,Outbound,tapo,Taunton & Potter,2
35,Outbound,brsi,Taunton & Waterman,3
35,Outbound,nbrw,North Broadway & Roger Williams,4
35,Outbound,nefe,Newport & Ferris,5
35,Outbound,nebh,Newport & Beverage Hill,6
35,Outbound,arne,Armistice & Newport,7
35,Outbound,soas,South Attleboro (Bristol Place),8
40,Inbound,buho,Butler Hospital,1
40,Inbound,elsa,elmgrove & savoy,2
40,Inbound,elan,Elmgrove & Angell,3
40,Inbound,tuth,Tunnel & Thayer,4
40,Inbound,kepl,Kennedy Plaza (Providence),5
40,Outbound,kepl,Kennedy Plaza (Providence),1
40,Outbound,tuth,Tunnel & Thayer,2
40,Outbound,wasq,Wayland Square,3
40,Outbound,egsa,Elmgrove & Savoy,4
40,Outbound,buho,Butler Hospital,5
45,Inbound,gabe,Galilee (Block Island Ferry),1
45,Inbound,rowh,Roger Wheeler Beach,2
45,Inbound,scar,Scarborough Beach,3
45,Inbound,exte,Exchange Terrace (Stop X),4
45,Inbound,cspl,John Cummings at Comm. Care Alliance,5
45,Outbound,cspl,John Cummings at Comm. Care Alliance,1
45,Outbound,exte,Exchange Terrace (Stop X),2
45,Outbound,scar,Scarborough Beach,3
45,Outbound,rowh,Roger Wheeler Beach,4
45,Outbound,gabe,Galilee (Block Island Ferry),5
46,Inbound,gabe,Galilee (Block Island Ferry),1
46,Inbound,rowh,Roger Wheeler Beach,2
46,Inbound,scar,Scarborough Beach,3
46,Inbound,slmi,Slater Mill (Roosevelt & Main),4
46,Inbound,patc,Pawtucket-Central Falls Transit Center,5
46,Inbound,deba,Dexter & Barton,6
46,Inbound,dewh,Dexter & West Hunt,7
46,Outbound,dewh,Dexter & West Hunt,1
46,Outbound,deba,Dexter & Barton,2
46,Outbound,patc,Pawtucket-Central Falls Transit Center,3
46,Outbound,maro,Roosevelt & Main,4
46,Outbound,scar,Scarborough Beach,5
46,Outbound,rowh,Roger Wheeler Beach,6
46,Outbound,gabe,Galilee (Block Island Ferry),7
47,Inbound,gabe,Galilee (Block Island Ferry),1
47,Inbound,rowh,Roger Wheeler Beach,2
47,Inbound,scar,Scarborough Beach,3
47,Inbound,ccha,Cranston City Hall,4
47,Inbound,exte,Exchange Terrace (Stop X),5
47,Inbound,nopr,North Providence,6
47,Outbound,nopr,North Providence,1
47,Outbound,ccha,Cranston City Hall,2
47,Outbound,exte,Exchange Terrace (Stop X),3
47,Outbound,scar,Scarborough Beach,4
47,Outbound,rowh,Roger Wheeler Beach,5
47,Outbound,gabe,Galilee (Block Island Ferry),6
50,Inbound,brco,Bryant University,1
50,Inbound,fide,Fidelity Investments,2
50,Inbound,d295,Douglas Pike/RI-7 & I-295,3
50,Inbound,trdp,Twin River & Douglas Pike,4
50,Inbound,msdo,Mineral Spring & Douglas,5
50,Inbound,adlu,Shaw's (North Providence),6
50,Inbound,dovz,Douglas & Veazie,7
50,Inbound,doea,Douglas & Eaton,8
50,Inbound,smga,Smith & Gaspee,9
50,Inbound,kepl,Kennedy Plaza (Providence),10
50,Outbound,kepl,Kennedy Plaza (Providence),1
50,Outbound,smga,Smith & Gaspee,2
50,Outbound,doea,Douglas & Eaton,3
50,Outbound,dovz,Douglas & Veazie,4
50,Outbound,adlu,Shaw's (North Providence),5
50,Outbound,msdo,Mineral Spring & Douglas,6
50,Outbound,trdp,Twin River & Douglas Pike,7
50,Outbound,d295,Douglas Pike/RI-7 & I-295,8
50,Outbound,fide,Fidelity Investments,9
50,Outbound,brco,Bryant University,10
51,Inbound,ccri,CCRI Lincoln,1
51,Inbound,lipa,Twin River Casino,2
51,Inbound,msch,Mineral Spring & Charles,3
51,Inbound,brch,Charles & Branch,4
51,Inbound,adch,Admiral & Charles,5
51,Inbound,psta,Providence Station,6
51,Inbound,kepl,Kennedy Plaza (Providence),7
51,Inbound,riho,Hospital District (Eddy & Borden),8
51,Outbound,riho,Hospital District (Eddy & Borden),1
51,Outbound,kepl,Kennedy Plaza (Providence),2
51,Outbound,psta,Providence Station,3
51,Outbound,adch,Admiral & Charles,4
51,Outbound,brch,Charles & Branch,5
51,Outbound,msch,Mineral Spring & Charles,6
51,Outbound,lipa,Twin River Casino,7
51,Outbound,ccri,CCRI Lincoln,8
54,Inbound,stpb,Stop & Shop Bellingham,1
